mature_accession	mature_name	mature_confidence	precursor_accession	precursor_name	precursor_confidence
MIMAT0022274	hsa-miR-5580-3p	low	MI0019135	hsa-mir-5580	low
MIMAT0016861	hsa-miR-4308	low	MI0015839	hsa-mir-4308	low
MIMAT0022287	hsa-miR-5586-5p	high	MI0019143	hsa-mir-5586	high
MIMAT0022288	hsa-miR-5586-3p	high	MI0019143	hsa-mir-5586	high
MIMAT0039310	hsa-miR-9718	low	MI0030983	hsa-mir-9718	low
MIMAT0005928	hsa-miR-548h-5p	unknown	MI0006411	hsa-mir-548h-1	low
MIMAT0030430	hsa-miR-7855-5p	low	MI0025525	hsa-mir-7855	low
MIMAT0019806	hsa-miR-4706	low	MI0017339	hsa-mir-4706	low
MIMAT0019809	hsa-miR-4708-5p	low	MI0017341	hsa-mir-4708	low
MIMAT0019810	hsa-miR-4708-3p	low	MI0017341	hsa-mir-4708	low
MIMAT0003294	hsa-miR-625-5p	high	MI0003639	hsa-mir-625	high
MIMAT0004808	hsa-miR-625-3p	high	MI0003639	hsa-mir-625	high
MIMAT0022487	hsa-miR-5694	low	MI0019301	hsa-mir-5694	low
MIMAT0030411	hsa-miR-7843-5p	low	MI0025510	hsa-mir-7843	low
MIMAT0030412	hsa-miR-7843-3p	low	MI0025510	hsa-mir-7843	low
MIMAT0019041	hsa-miR-4505	low	MI0016868	hsa-mir-4505	low
MIMAT0019811	hsa-miR-4709-5p	high	MI0017342	hsa-mir-4709	high
MIMAT0019812	hsa-miR-4709-3p	high	MI0017342	hsa-mir-4709	high
MIMAT0005911	hsa-miR-1260a	low	MI0006394	hsa-mir-1260a	low
MIMAT0019042	hsa-miR-4506	low	MI0016869	hsa-mir-4506	low
MIMAT0015048	hsa-miR-3173-3p	high	MI0014204	hsa-mir-3173	high
MIMAT0019214	hsa-miR-3173-5p	high	MI0014204	hsa-mir-3173	high
MIMAT0010214	hsa-miR-151b	low	MI0003772	hsa-mir-151b	low
MIMAT0004694	hsa-miR-342-5p	high	MI0000805	hsa-mir-342	high
MIMAT0000753	hsa-miR-342-3p	high	MI0000805	hsa-mir-342	high
MIMAT0027428	hsa-miR-6764-5p	low	MI0022609	hsa-mir-6764	low
MIMAT0027429	hsa-miR-6764-3p	low	MI0022609	hsa-mir-6764	low
MIMAT0000772	hsa-miR-345-5p	high	MI0000825	hsa-mir-345	high
MIMAT0022698	hsa-miR-345-3p	high	MI0000825	hsa-mir-345	high
MIMAT0019043	hsa-miR-2392	low	MI0016870	hsa-mir-2392	low
MIMAT0003948	hsa-miR-770-5p	low	MI0005118	hsa-mir-770	low
MIMAT0002813	hsa-miR-493-5p	high	MI0003132	hsa-mir-493	high
MIMAT0003161	hsa-miR-493-3p	high	MI0003132	hsa-mir-493	high
MIMAT0004695	hsa-miR-337-5p	high	MI0000806	hsa-mir-337	high
MIMAT0000754	hsa-miR-337-3p	high	MI0000806	hsa-mir-337	high
MIMAT0004952	hsa-miR-665	low	MI0005563	hsa-mir-665	low
MIMAT0001625	hsa-miR-431-5p	low	MI0001721	hsa-mir-431	low
MIMAT0004757	hsa-miR-431-3p	low	MI0001721	hsa-mir-431	low
MIMAT0001627	hsa-miR-433-3p	high	MI0001723	hsa-mir-433	high
MIMAT0026554	hsa-miR-433-5p	high	MI0001723	hsa-mir-433	high
MIMAT0004604	hsa-miR-127-5p	high	MI0000472	hsa-mir-127	high
MIMAT0000446	hsa-miR-127-3p	high	MI0000472	hsa-mir-127	high
MIMAT0002814	hsa-miR-432-5p	low	MI0003133	hsa-mir-432	low
MIMAT0002815	hsa-miR-432-3p	low	MI0003133	hsa-mir-432	low
MIMAT0000448	hsa-miR-136-5p	high	MI0000475	hsa-mir-136	high
MIMAT0004606	hsa-miR-136-3p	high	MI0000475	hsa-mir-136	high
MIMAT0000722	hsa-miR-370-3p	high	MI0000778	hsa-mir-370	high
MIMAT0026483	hsa-miR-370-5p	high	MI0000778	hsa-mir-370	high
MIMAT0000733	hsa-miR-379-5p	high	MI0000787	hsa-mir-379	high
MIMAT0004690	hsa-miR-379-3p	high	MI0000787	hsa-mir-379	high
MIMAT0003329	hsa-miR-411-5p	high	MI0003675	hsa-mir-411	high
MIMAT0004813	hsa-miR-411-3p	high	MI0003675	hsa-mir-411	high
MIMAT0002890	hsa-miR-299-5p	high	MI0000744	hsa-mir-299	high
MIMAT0000687	hsa-miR-299-3p	high	MI0000744	hsa-mir-299	high
MIMAT0000734	hsa-miR-380-5p	high	MI0000788	hsa-mir-380	high
MIMAT0000735	hsa-miR-380-3p	high	MI0000788	hsa-mir-380	high
MIMAT0005955	hsa-miR-1197	low	MI0006656	hsa-mir-1197	low
MIMAT0004696	hsa-miR-323a-5p	high	MI0000807	hsa-mir-323a	high
MIMAT0000755	hsa-miR-323a-3p	high	MI0000807	hsa-mir-323a	high
MIMAT0003879	hsa-miR-758-3p	high	MI0003757	hsa-mir-758	high
MIMAT0022929	hsa-miR-758-5p	high	MI0003757	hsa-mir-758	high
MIMAT0001629	hsa-miR-329-3p	high	MI0001725	hsa-mir-329-1	high
MIMAT0026555	hsa-miR-329-5p	high	MI0001725	hsa-mir-329-1	high
MIMAT0001629	hsa-miR-329-3p	high	MI0001726	hsa-mir-329-2	high
MIMAT0026555	hsa-miR-329-5p	high	MI0001726	hsa-mir-329-2	high
MIMAT0002816	hsa-miR-494-3p	high	MI0003134	hsa-mir-494	high
MIMAT0026607	hsa-miR-494-5p	high	MI0003134	hsa-mir-494	high
MIMAT0015049	hsa-miR-1193	low	MI0014205	hsa-mir-1193	low
MIMAT0004954	hsa-miR-543	low	MI0005565	hsa-mir-543	low
MIMAT0002817	hsa-miR-495-3p	high	MI0003135	hsa-mir-495	high
MIMAT0022924	hsa-miR-495-5p	high	MI0003135	hsa-mir-495	high
MIMAT0000720	hsa-miR-376c-3p	high	MI0000776	hsa-mir-376c	high
MIMAT0022861	hsa-miR-376c-5p	high	MI0000776	hsa-mir-376c	high
MIMAT0000729	hsa-miR-376a-3p	high	MI0003529	hsa-mir-376a-2	high
MIMAT0022928	hsa-miR-376a-2-5p	high	MI0003529	hsa-mir-376a-2	high
MIMAT0003330	hsa-miR-654-5p	high	MI0003676	hsa-mir-654	high
MIMAT0004814	hsa-miR-654-3p	high	MI0003676	hsa-mir-654	high
MIMAT0002172	hsa-miR-376b-3p	high	MI0002466	hsa-mir-376b	high
MIMAT0022923	hsa-miR-376b-5p	high	MI0002466	hsa-mir-376b	high
MIMAT0003386	hsa-miR-376a-5p	high	MI0000784	hsa-mir-376a-1	high
MIMAT0000729	hsa-miR-376a-3p	high	MI0000784	hsa-mir-376a-1	high
MIMAT0004903	hsa-miR-300	low	MI0005525	hsa-mir-300	low
MIMAT0005798	hsa-miR-1185-5p	high	MI0003844	hsa-mir-1185-1	high
MIMAT0022838	hsa-miR-1185-1-3p	high	MI0003844	hsa-mir-1185-1	high
MIMAT0005798	hsa-miR-1185-5p	high	MI0003821	hsa-mir-1185-2	high
MIMAT0022713	hsa-miR-1185-2-3p	high	MI0003821	hsa-mir-1185-2	high
MIMAT0000736	hsa-miR-381-3p	high	MI0000789	hsa-mir-381	high
MIMAT0022862	hsa-miR-381-5p	high	MI0000789	hsa-mir-381	high
MIMAT0003180	hsa-miR-487b-3p	low	MI0003530	hsa-mir-487b	low
MIMAT0026614	hsa-miR-487b-5p	low	MI0003530	hsa-mir-487b	low
MIMAT0003163	hsa-miR-539-5p	high	MI0003514	hsa-mir-539	high
MIMAT0022705	hsa-miR-539-3p	high	MI0003514	hsa-mir-539	high
MIMAT0004921	hsa-miR-889-3p	high	MI0005540	hsa-mir-889	high
MIMAT0026719	hsa-miR-889-5p	high	MI0005540	hsa-mir-889	high
MIMAT0003164	hsa-miR-544a	high	MI0003515	hsa-mir-544a	high
MIMAT0003331	hsa-miR-655-3p	high	MI0003677	hsa-mir-655	high
MIMAT0026626	hsa-miR-655-5p	high	MI0003677	hsa-mir-655	high
MIMAT0002178	hsa-miR-487a-3p	high	MI0002471	hsa-mir-487a	high
MIMAT0026559	hsa-miR-487a-5p	high	MI0002471	hsa-mir-487a	high
MIMAT0000737	hsa-miR-382-5p	high	MI0000790	hsa-mir-382	high
MIMAT0022697	hsa-miR-382-3p	high	MI0000790	hsa-mir-382	high
MIMAT0000447	hsa-miR-134-5p	high	MI0000474	hsa-mir-134	high
MIMAT0026481	hsa-miR-134-3p	high	MI0000474	hsa-mir-134	high
MIMAT0003881	hsa-miR-668-3p	low	MI0003761	hsa-mir-668	low
MIMAT0026636	hsa-miR-668-5p	low	MI0003761	hsa-mir-668	low
MIMAT0002175	hsa-miR-485-5p	high	MI0002469	hsa-mir-485	high
MIMAT0002176	hsa-miR-485-3p	high	MI0002469	hsa-mir-485	high
MIMAT0001630	hsa-miR-323b-5p	high	MI0014206	hsa-mir-323b	high
MIMAT0015050	hsa-miR-323b-3p	high	MI0014206	hsa-mir-323b	high
MIMAT0000452	hsa-miR-154-5p	high	MI0000480	hsa-mir-154	high
MIMAT0000453	hsa-miR-154-3p	high	MI0000480	hsa-mir-154	high
MIMAT0002818	hsa-miR-496	low	MI0003136	hsa-mir-496	low
MIMAT0004689	hsa-miR-377-5p	high	MI0000785	hsa-mir-377	high
MIMAT0000730	hsa-miR-377-3p	high	MI0000785	hsa-mir-377	high
MIMAT0004919	hsa-miR-541-5p	high	MI0005539	hsa-mir-541	high
MIMAT0004920	hsa-miR-541-3p	high	MI0005539	hsa-mir-541	high
MIMAT0001638	hsa-miR-409-5p	high	MI0001735	hsa-mir-409	high
MIMAT0001639	hsa-miR-409-3p	high	MI0001735	hsa-mir-409	high
MIMAT0002170	hsa-miR-412-3p	low	MI0002464	hsa-mir-412	low
MIMAT0026557	hsa-miR-412-5p	low	MI0002464	hsa-mir-412	low
MIMAT0001621	hsa-miR-369-5p	high	MI0000777	hsa-mir-369	high
MIMAT0000721	hsa-miR-369-3p	high	MI0000777	hsa-mir-369	high
MIMAT0002171	hsa-miR-410-3p	high	MI0002465	hsa-mir-410	high
MIMAT0026558	hsa-miR-410-5p	high	MI0002465	hsa-mir-410	high
MIMAT0003332	hsa-miR-656-3p	high	MI0003678	hsa-mir-656	high
MIMAT0026627	hsa-miR-656-5p	high	MI0003678	hsa-mir-656	high
MIMAT0005899	hsa-miR-1247-5p	high	MI0006382	hsa-mir-1247	high
MIMAT0022721	hsa-miR-1247-3p	high	MI0006382	hsa-mir-1247	high
MIMAT0016859	hsa-miR-4309	low	MI0015837	hsa-mir-4309	low
MIMAT0000264	hsa-miR-203a-3p	high	MI0000283	hsa-mir-203a	high
MIMAT0031890	hsa-miR-203a-5p	high	MI0000283	hsa-mir-203a	high
MIMAT0019813	hsa-miR-203b-5p	low	MI0017343	hsa-mir-203b	low
MIMAT0019814	hsa-miR-203b-3p	low	MI0017343	hsa-mir-203b	low
MIMAT0019815	hsa-miR-4710	low	MI0017344	hsa-mir-4710	low
MIMAT0049015	hsa-miR-12121	low	MI0039723	hsa-mir-12121	low
MIMAT0027430	hsa-miR-6765-5p	low	MI0022610	hsa-mir-6765	low
MIMAT0027431	hsa-miR-6765-3p	low	MI0022610	hsa-mir-6765	low
MIMAT0030998	hsa-miR-8071	low	MI0025907	hsa-mir-8071-1	low
MIMAT0030998	hsa-miR-8071	low	MI0026417	hsa-mir-8071-2	low
MIMAT0019082	hsa-miR-4539	low	MI0016910	hsa-mir-4539	low
MIMAT0019044	hsa-miR-4507	low	MI0016871	hsa-mir-4507	low
MIMAT0019081	hsa-miR-4538	low	MI0016909	hsa-mir-4538	low
MIMAT0019080	hsa-miR-4537	low	MI0016908	hsa-mir-4537	low
MIMAT0021126	hsa-miR-5195-5p	low	MI0018174	hsa-mir-5195	low
MIMAT0021127	hsa-miR-5195-3p	low	MI0018174	hsa-mir-5195	low
MIMAT0014980	hsa-miR-3118	low	MI0014132	hsa-mir-3118-2	low
MIMAT0022494	hsa-miR-5701	low	MI0019308	hsa-mir-5701-1	low
MIMAT0014980	hsa-miR-3118	low	MI0014133	hsa-mir-3118-3	low
MIMAT0022494	hsa-miR-5701	low	MI0019593	hsa-mir-5701-2	low
MIMAT0014980	hsa-miR-3118	low	MI0014207	hsa-mir-3118-4	low
MIMAT0022494	hsa-miR-5701	low	MI0031522	hsa-mir-5701-3	low
MIMAT0005922	hsa-miR-1268a	low	MI0006405	hsa-mir-1268a	low
MIMAT0019046	hsa-miR-4509	low	MI0016873	hsa-mir-4509-1	low
MIMAT0019045	hsa-miR-4508	low	MI0016872	hsa-mir-4508	low
MIMAT0019824	hsa-miR-4715-5p	low	MI0017349	hsa-mir-4715	low
MIMAT0019825	hsa-miR-4715-3p	low	MI0017349	hsa-mir-4715	low
MIMAT0019046	hsa-miR-4509	low	MI0016874	hsa-mir-4509-2	low
MIMAT0019046	hsa-miR-4509	low	MI0016875	hsa-mir-4509-3	low
MIMAT0000268	hsa-miR-211-5p	high	MI0000287	hsa-mir-211	high
MIMAT0022694	hsa-miR-211-3p	high	MI0000287	hsa-mir-211	high
MIMAT0005588	hsa-miR-1233-3p	low	MI0006323	hsa-mir-1233-1	low
MIMAT0022943	hsa-miR-1233-5p	low	MI0006323	hsa-mir-1233-1	low
MIMAT0005588	hsa-miR-1233-3p	low	MI0015973	hsa-mir-1233-2	low
MIMAT0022943	hsa-miR-1233-5p	low	MI0015973	hsa-mir-1233-2	low
MIMAT0018358	hsa-miR-3942-5p	high	MI0016599	hsa-mir-3942	high
MIMAT0019230	hsa-miR-3942-3p	high	MI0016599	hsa-mir-3942	high
MIMAT0019047	hsa-miR-4510	low	MI0016876	hsa-mir-4510	low
MIMAT0030990	hsa-miR-8063	low	MI0025899	hsa-mir-8063	low
MIMAT0003295	hsa-miR-626	low	MI0003640	hsa-mir-626	low
MIMAT0016862	hsa-miR-4310	low	MI0015840	hsa-mir-4310	low
MIMAT0003296	hsa-miR-627-5p	high	MI0003641	hsa-mir-627	high
MIMAT0026623	hsa-miR-627-3p	high	MI0003641	hsa-mir-627	high
MIMAT0005940	hsa-miR-1282	low	MI0006429	hsa-mir-1282	low
MIMAT0041617	hsa-miR-10393-5p	low	MI0033417	hsa-mir-10393	low
MIMAT0041618	hsa-miR-10393-3p	low	MI0033417	hsa-mir-10393	low
MIMAT0004928	hsa-miR-147b-3p	high	MI0005544	hsa-mir-147b	high
MIMAT0037331	hsa-miR-147b-5p	high	MI0005544	hsa-mir-147b	high
MIMAT0019826	hsa-miR-4716-5p	low	MI0017350	hsa-mir-4716	low
MIMAT0019827	hsa-miR-4716-3p	low	MI0017350	hsa-mir-4716	low
MIMAT0019818	hsa-miR-4712-5p	low	MI0017346	hsa-mir-4712	low
MIMAT0019819	hsa-miR-4712-3p	low	MI0017346	hsa-mir-4712	low
MIMAT0019820	hsa-miR-4713-5p	low	MI0017347	hsa-mir-4713	low
MIMAT0019821	hsa-miR-4713-3p	low	MI0017347	hsa-mir-4713	low
MIMAT0031176	hsa-miR-7973	low	MI0025749	hsa-mir-7973-2	low
MIMAT0031176	hsa-miR-7973	low	MI0025748	hsa-mir-7973-1	low
MIMAT0005920	hsa-miR-1266-5p	low	MI0006403	hsa-mir-1266	low
MIMAT0026742	hsa-miR-1266-3p	low	MI0006403	hsa-mir-1266	low
MIMAT0004809	hsa-miR-628-5p	low	MI0003642	hsa-mir-628	low
MIMAT0003297	hsa-miR-628-3p	low	MI0003642	hsa-mir-628	low
MIMAT0011160	hsa-miR-2116-5p	high	MI0010635	hsa-mir-2116	high
MIMAT0011161	hsa-miR-2116-3p	high	MI0010635	hsa-mir-2116	high
MIMAT0030994	hsa-miR-8067	low	MI0025903	hsa-mir-8067	low
MIMAT0023710	hsa-miR-6085	low	MI0020362	hsa-mir-6085	low
MIMAT0000458	hsa-miR-190a-5p	high	MI0000486	hsa-mir-190a	high
MIMAT0026482	hsa-miR-190a-3p	high	MI0000486	hsa-mir-190a	high
MIMAT0001339	hsa-miR-422a	low	MI0001444	hsa-mir-422a	low
MIMAT0005925	hsa-miR-1272	low	MI0006408	hsa-mir-1272	low
MIMAT0019048	hsa-miR-4511	low	MI0016877	hsa-mir-4511	low
MIMAT0016863	hsa-miR-4311	low	MI0015841	hsa-mir-4311	low
MIMAT0019049	hsa-miR-4512	low	MI0016878	hsa-mir-4512	low
MIMAT0016864	hsa-miR-4312	low	MI0015842	hsa-mir-4312	low
MIMAT0004810	hsa-miR-629-5p	high	MI0003643	hsa-mir-629	high
MIMAT0003298	hsa-miR-629-3p	high	MI0003643	hsa-mir-629	high
MIMAT0003299	hsa-miR-630	low	MI0003644	hsa-mir-630	low
MIMAT0049031	hsa-miR-12135	low	MI0039739	hsa-mir-12135	low
MIMAT0027662	hsa-miR-6881-5p	low	MI0022728	hsa-mir-6881	low
MIMAT0027663	hsa-miR-6881-3p	low	MI0022728	hsa-mir-6881	low
MIMAT0019050	hsa-miR-4513	low	MI0016879	hsa-mir-4513	low
MIMAT0027664	hsa-miR-6882-5p	low	MI0022729	hsa-mir-6882	low
MIMAT0027665	hsa-miR-6882-3p	low	MI0022729	hsa-mir-6882	low
MIMAT0003300	hsa-miR-631	low	MI0003645	hsa-mir-631	low
MIMAT0016865	hsa-miR-4313	low	MI0015843	hsa-mir-4313	low
MIMAT0000454	hsa-miR-184	low	MI0000481	hsa-mir-184	low
MIMAT0022260	hsa-miR-5572	low	MI0019117	hsa-mir-5572	low
MIMAT0003333	hsa-miR-549a-3p	low	MI0003679	hsa-mir-549a	low
MIMAT0037328	hsa-miR-549a-5p	low	MI0003679	hsa-mir-549a	low
MIMAT0019051	hsa-miR-4514	low	MI0016880	hsa-mir-4514	low
MIMAT0019052	hsa-miR-4515	low	MI0016881	hsa-mir-4515	low
MIMAT0030021	hsa-miR-7706	low	MI0025242	hsa-mir-7706	low
MIMAT0005930	hsa-miR-1276	high	MI0006416	hsa-mir-1276	high
MIMAT0021037	hsa-miR-548ap-5p	high	MI0017875	hsa-mir-548ap	high
MIMAT0021038	hsa-miR-548ap-3p	high	MI0017875	hsa-mir-548ap	high
MIMAT0043996	hsa-miR-11181-5p	low	MI0035972	hsa-mir-11181	low
MIMAT0043997	hsa-miR-11181-3p	low	MI0035972	hsa-mir-11181	low
MIMAT0005824	hsa-miR-1179	low	MI0006272	hsa-mir-1179	low
MIMAT0000252	hsa-miR-7-5p	unknown	MI0000264	hsa-mir-7-2	high
MIMAT0004554	hsa-miR-7-2-3p	high	MI0000264	hsa-mir-7-2	high
MIMAT0019828	hsa-miR-3529-5p	low	MI0017351	hsa-mir-3529	low
MIMAT0022741	hsa-miR-3529-3p	low	MI0017351	hsa-mir-3529	low
MIMAT0027432	hsa-miR-6766-5p	low	MI0022611	hsa-mir-6766	low
MIMAT0027433	hsa-miR-6766-3p	low	MI0022611	hsa-mir-6766	low
MIMAT0000441	hsa-miR-9-5p	high	MI0000468	hsa-mir-9-3	high
MIMAT0000442	hsa-miR-9-3p	high	MI0000468	hsa-mir-9-3	high
MIMAT0021086	hsa-miR-5094	low	MI0017983	hsa-mir-5094	low
MIMAT0021041	hsa-miR-5009-5p	low	MI0017877	hsa-mir-5009	low
MIMAT0021042	hsa-miR-5009-3p	low	MI0017877	hsa-mir-5009	low
MIMAT0015051	hsa-miR-3174	low	MI0014208	hsa-mir-3174	low
MIMAT0015052	hsa-miR-3175	low	MI0014209	hsa-mir-3175	low
MIMAT0007347	hsa-miR-1469	low	MI0007074	hsa-mir-1469	low
MIMAT0019822	hsa-miR-4714-5p	low	MI0017348	hsa-mir-4714	low
MIMAT0019823	hsa-miR-4714-3p	low	MI0017348	hsa-mir-4714	low
MIMAT0005890	hsa-miR-1302	low	MI0015979	hsa-mir-1302-10	low
MIMAT0027618	hsa-miR-6859-5p	low	MI0026421	hsa-mir-6859-3	low
MIMAT0027619	hsa-miR-6859-3p	low	MI0026421	hsa-mir-6859-3	low
MIMAT0027618	hsa-miR-6859-5p	low	MI0031521	hsa-mir-6859-4	low
MIMAT0027619	hsa-miR-6859-3p	low	MI0031521	hsa-mir-6859-4	low
MIMAT0022289	hsa-miR-5587-5p	low	MI0019144	hsa-mir-5587	low
MIMAT0022290	hsa-miR-5587-3p	low	MI0019144	hsa-mir-5587	low
MIMAT0015053	hsa-miR-3176	low	MI0014210	hsa-mir-3176	low
MIMAT0003325	hsa-miR-662	low	MI0003670	hsa-mir-662	low
MIMAT0015054	hsa-miR-3177-3p	high	MI0014211	hsa-mir-3177	high
MIMAT0019215	hsa-miR-3177-5p	high	MI0014211	hsa-mir-3177	high
MIMAT0005572	hsa-miR-1225-5p	low	MI0006311	hsa-mir-1225	low
MIMAT0005573	hsa-miR-1225-3p	low	MI0006311	hsa-mir-1225	low
MIMAT0025847	hsa-miR-6511b-5p	low	MI0022552	hsa-mir-6511b-1	low
MIMAT0025848	hsa-miR-6511b-3p	low	MI0022552	hsa-mir-6511b-1	low
MIMAT0019053	hsa-miR-4516	low	MI0016882	hsa-mir-4516	low
MIMAT0018178	hsa-miR-3180	low	MI0016409	hsa-mir-3180-5	low
MIMAT0018101	hsa-miR-3677-3p	high	MI0016078	hsa-mir-3677	high
MIMAT0019221	hsa-miR-3677-5p	high	MI0016078	hsa-mir-3677	high
MIMAT0004983	hsa-miR-940	low	MI0005762	hsa-mir-940	low
MIMAT0019829	hsa-miR-4717-5p	low	MI0017352	hsa-mir-4717	low
MIMAT0019830	hsa-miR-4717-3p	low	MI0017352	hsa-mir-4717	low
MIMAT0027434	hsa-miR-6767-5p	low	MI0022612	hsa-mir-6767	low
MIMAT0027435	hsa-miR-6767-3p	low	MI0022612	hsa-mir-6767	low
MIMAT0027436	hsa-miR-6768-5p	low	MI0022613	hsa-mir-6768	low
MIMAT0027437	hsa-miR-6768-3p	low	MI0022613	hsa-mir-6768	low
MIMAT0015055	hsa-miR-3178	low	MI0014212	hsa-mir-3178	low
MIMAT0024599	hsa-miR-6126	low	MI0021260	hsa-mir-6126	low
MIMAT0027438	hsa-miR-6769a-5p	high	MI0022614	hsa-mir-6769a	high
MIMAT0027439	hsa-miR-6769a-3p	high	MI0022614	hsa-mir-6769a	high
MIMAT0030992	hsa-miR-8065	low	MI0025901	hsa-mir-8065	low
MIMAT0005928	hsa-miR-548h-5p	unknown	MI0006412	hsa-mir-548h-2	low
MIMAT0019831	hsa-miR-4718	low	MI0017353	hsa-mir-4718	low
MIMAT0004767	hsa-miR-193b-5p	high	MI0003137	hsa-mir-193b	high
MIMAT0002819	hsa-miR-193b-3p	high	MI0003137	hsa-mir-193b	high
MIMAT0000710	hsa-miR-365a-3p	high	MI0000767	hsa-mir-365a	high
MIMAT0009199	hsa-miR-365a-5p	high	MI0000767	hsa-mir-365a	high
MIMAT0015056	hsa-miR-3179	low	MI0014213	hsa-mir-3179-1	low
MIMAT0018093	hsa-miR-3670	low	MI0016071	hsa-mir-3670-1	low
MIMAT0015057	hsa-miR-3180-5p	high	MI0014214	hsa-mir-3180-1	high
MIMAT0015058	hsa-miR-3180-3p	high	MI0014214	hsa-mir-3180-1	high
MIMAT0025478	hsa-miR-6511a-5p	high	MI0022223	hsa-mir-6511a-1	high
MIMAT0025479	hsa-miR-6511a-3p	high	MI0022223	hsa-mir-6511a-1	high
MIMAT0027440	hsa-miR-6770-5p	high	MI0022615	hsa-mir-6770-1	high
MIMAT0027441	hsa-miR-6770-3p	high	MI0022615	hsa-mir-6770-1	high
MIMAT0009447	hsa-miR-1972	low	MI0009982	hsa-mir-1972-1	low
MIMAT0025847	hsa-miR-6511b-5p	low	MI0023431	hsa-mir-6511b-2	low
MIMAT0025848	hsa-miR-6511b-3p	low	MI0023431	hsa-mir-6511b-2	low
MIMAT0018178	hsa-miR-3180	low	MI0016408	hsa-mir-3180-4	low
MIMAT0025468	hsa-miR-6506-5p	low	MI0022218	hsa-mir-6506	low
MIMAT0025469	hsa-miR-6506-3p	low	MI0022218	hsa-mir-6506	low
MIMAT0002174	hsa-miR-484	low	MI0002468	hsa-mir-484	low
MIMAT0015056	hsa-miR-3179	low	MI0014216	hsa-mir-3179-2	low
MIMAT0018093	hsa-miR-3670	low	MI0019112	hsa-mir-3670-2	low
MIMAT0015057	hsa-miR-3180-5p	high	MI0014215	hsa-mir-3180-2	high
MIMAT0015058	hsa-miR-3180-3p	high	MI0014215	hsa-mir-3180-2	high
MIMAT0025478	hsa-miR-6511a-5p	high	MI0023564	hsa-mir-6511a-2	high
MIMAT0025479	hsa-miR-6511a-3p	high	MI0023564	hsa-mir-6511a-2	high
MIMAT0027440	hsa-miR-6770-5p	high	MI0026418	hsa-mir-6770-2	high
MIMAT0027441	hsa-miR-6770-3p	high	MI0026418	hsa-mir-6770-2	high
MIMAT0025478	hsa-miR-6511a-5p	high	MI0023565	hsa-mir-6511a-3	high
MIMAT0025479	hsa-miR-6511a-3p	high	MI0023565	hsa-mir-6511a-3	high
MIMAT0025478	hsa-miR-6511a-5p	high	MI0023566	hsa-mir-6511a-4	high
MIMAT0025479	hsa-miR-6511a-3p	high	MI0023566	hsa-mir-6511a-4	high
MIMAT0027440	hsa-miR-6770-5p	high	MI0026419	hsa-mir-6770-3	high
MIMAT0027441	hsa-miR-6770-3p	high	MI0026419	hsa-mir-6770-3	high
MIMAT0015057	hsa-miR-3180-5p	high	MI0014217	hsa-mir-3180-3	high
MIMAT0015058	hsa-miR-3180-3p	high	MI0014217	hsa-mir-3180-3	high
MIMAT0018093	hsa-miR-3670	low	MI0031513	hsa-mir-3670-3	low
MIMAT0015056	hsa-miR-3179	low	MI0014221	hsa-mir-3179-3	low
MIMAT0018093	hsa-miR-3670	low	MI0031514	hsa-mir-3670-4	low
MIMAT0015056	hsa-miR-3179	low	MI0031510	hsa-mir-3179-4	low
MIMAT0018106	hsa-miR-3680-5p	low	MI0016081	hsa-mir-3680-1	low
MIMAT0018107	hsa-miR-3680-3p	low	MI0016081	hsa-mir-3680-1	low
MIMAT0030415	hsa-miR-1273h-5p	low	MI0025512	hsa-mir-1273h	low
MIMAT0030416	hsa-miR-1273h-3p	low	MI0025512	hsa-mir-1273h	low
MIMAT0015060	hsa-miR-548w	low	MI0014222	hsa-mir-548w	low
MIMAT0027625	hsa-miR-6862-5p	low	MI0022709	hsa-mir-6862-1	low
MIMAT0027626	hsa-miR-6862-3p	low	MI0022709	hsa-mir-6862-1	low
MIMAT0027625	hsa-miR-6862-5p	low	MI0026415	hsa-mir-6862-2	low
MIMAT0027626	hsa-miR-6862-3p	low	MI0026415	hsa-mir-6862-2	low
MIMAT0019835	hsa-miR-4721	low	MI0017356	hsa-mir-4721	low
MIMAT0019054	hsa-miR-4517	low	MI0016883	hsa-mir-4517	low
MIMAT0018106	hsa-miR-3680-5p	low	MI0019113	hsa-mir-3680-2	low
MIMAT0018107	hsa-miR-3680-3p	low	MI0019113	hsa-mir-3680-2	low
MIMAT0019055	hsa-miR-4518	low	MI0016884	hsa-mir-4518	low
MIMAT0019056	hsa-miR-4519	low	MI0016885	hsa-mir-4519	low
MIMAT0010313	hsa-miR-762	low	MI0003892	hsa-mir-762	low
MIMAT0039321	hsa-miR-9901	low	MI0031829	hsa-mir-9901	low
MIMAT0027442	hsa-miR-6771-5p	low	MI0022616	hsa-mir-6771	low
MIMAT0027443	hsa-miR-6771-3p	low	MI0022616	hsa-mir-6771	low
MIMAT0015061	hsa-miR-3181	low	MI0014223	hsa-mir-3181	low
MIMAT0018350	hsa-miR-3935	low	MI0016591	hsa-mir-3935	low
MIMAT0000430	hsa-miR-138-5p	high	MI0000455	hsa-mir-138-2	high
MIMAT0004596	hsa-miR-138-2-3p	high	MI0000455	hsa-mir-138-2	high
MIMAT0027627	hsa-miR-6863	low	MI0022710	hsa-mir-6863	low
MIMAT0027444	hsa-miR-6772-5p	low	MI0022617	hsa-mir-6772	low
